"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"1050","Normal/Others","WS/MP582/2024-2025/137331-Lighting of public spaces","Gujarat","SURAT(DISTRICT COLLECTOR SURAT_IDA)","Prabhubhai Nagarbhai Vasava","BARDOLI(ST)","The following facility work regarding placing electricity pole near the field in front of the P.S., fixing till commissioning 11.00 M.T.R.G.I. Tuber Light Poles with 150 Volt 6 Flooded LEDs Lights Attachment and Leader with 1 Year Maintenance Work Nos.1, at Vihan village Near BOB Bank Taluka Kamrej, District Surat","27-Aug-2024","21-Oct-2024","191980","Physical Inspection"
"1051","Normal/Others","WS/MP582/2024-2025/137332-Lighting of public spaces","Gujarat","SURAT(DISTRICT COLLECTOR SURAT_IDA)","Prabhubhai Nagarbhai Vasava","BARDOLI(ST)","The following facility work regarding placing electricity pole near the field in front of the P.S., fixing till commissioning 11.00 M.T.R.G.I. Tuber Light Poles with 150 Volt 6 Flooded LEDs Lights Attachment and Leader with 1 Year Maintenance Work Nos.1, at Navi pardi village Near primary health center Taluka Kamrej, District Surat","27-Aug-2024","08-Nov-2024","191980","Physical Inspection"
"1052","Normal/Others","WS/MP582/2024-2025/137333-Lighting of public spaces","Gujarat","SURAT(DISTRICT COLLECTOR SURAT_IDA)","Prabhubhai Nagarbhai Vasava","BARDOLI(ST)","The following facility work regarding placing electricity pole near the field in front of the P.S., fixing till commissioning 11.00 M.T.R.G.I. Tuber Light Poles with 150 Volt 6 Flooded LEDs Lights Attachment and Leader with 1 Year Maintenance Work Nos.1, at Jhankhvav village Near Hanumanji Mandir Taluka Mangrol, District Surat","27-Aug-2024","06-Nov-2024","191980","Physical Inspection"
"1053","Normal/Others","WS/MP582/2024-2025/137338-Lighting of public spaces","Gujarat","SURAT(DISTRICT COLLECTOR SURAT_IDA)","Prabhubhai Nagarbhai Vasava","BARDOLI(ST)","The following facility work regarding placing electricity pole near the field in front of the P.S., fixing till commissioning 11.00 M.T.R.G.I. Tuber Light Poles with 150 Volt 6 Flooded LEDs Lights Attachment and Leader with 1 Year Maintenance Work Nos.1, at Mandvi nagar Near crematorium  Taluka Mandvi, District Surat","27-Aug-2024","10-Dec-2024","192000","Physical Inspection"
"1054","Normal/Others","WS/MP582/2024-2025/137339-Lighting of public spaces","Gujarat","SURAT(DISTRICT COLLECTOR SURAT_IDA)","Prabhubhai Nagarbhai Vasava","BARDOLI(ST)","The following facility work regarding placing electricity pole near the field in front of the P.S., fixing till commissioning 11.00 M.T.R.G.I. Tuber Light Poles with 150 Volt 6 Flooded LEDs Lights Attachment and Leader with 1 Year Maintenance Work Nos.1, at Mandvi Nagar Nava faliya Near Jay Rathod House Taluka Mandvi, District Surat","27-Aug-2024","10-Dec-2024","192000","Physical Inspection"
"1055","Normal/Others","WS/MP582/2025-2026/137346-Lighting of public spaces","Gujarat","TAPI(District collector Tapi_IDA)","Prabhubhai Nagarbhai Vasava","BARDOLI(ST)","The following facility work regarding placing electricity pole near the field in front of the P.S., fixing till commissioning 11.00 M.T.R.G.I. Tuber Light Poles with 150 Volt 6 Flooded LEDs Lights Attachment and Leader with 1 Year Maintenance Work Nos.1, at  Kelkui village near Swaminarayn temple Taluka Vyara, District Tapi","27-Aug-2024","28-May-2025","146500","Physical Inspection"
"1056","Normal/Others","WS/MP582/2024-2025/137348-Construction of footpaths and pedestrian ways","Gujarat","SURAT(DISTRICT COLLECTOR SURAT_IDA)","Prabhubhai Nagarbhai Vasava","BARDOLI(ST)","Paver block work in Bhavani Mata Mandir Faliya at Tarsadabar Village, Taluka Mandvi, District Surat","27-Aug-2024","07-Dec-2024","400000","Physical Inspection"
"1057","Normal/Others","WS/MP823/2024-2025/137367-Construction of bus-sheds or bus-stops","West Bengal","NADIA(DISTRICT MAGISTRATE NADIA_IDA)","Ms Mahua Moitra","KRISHNANAGAR","Construction of Chapra Bus Stand at Karimpur Krishnagar Road under Chapra GP, Chapra Block , Nadia.","05-Sep-2024","11-Dec-2024","8800000","Vendor Identification"
"1058","Normal/Others","WS/MP858/2025-2026/137402-Street lights","West Bengal","PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA)","Asit Kumar Mal","BOLPUR(SC)","Instalation 2(TWO)NO of high mast light at BONNABOGRAM BUS STAND AND Nowda Bagdi para tey matha. Excuting Agency WILL BE ,M.D. WEST BENGAL AGRO INDUSTRIES CORPORATION LTD, 23- B ,N.S. ROAD, KOLKATA -1","28-Aug-2024","19-Nov-2025","559912","Physical Inspection"
"1059","Normal/Others","WS/MP858/2025-2026/137433-Street lights","West Bengal","PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA)","Asit Kumar Mal","BOLPUR(SC)","INSTALATION of Total70(seventy) no street light at DIGNAGAR 20 no,UKTA 24 NO,AND BERENDA 26 NO OF STREET LIGHT.And Executing Agency will be M.D. WEST BENGAL AGRO INDUSTRIES CORPORATION LTD,23-B,  N.S. ROAD, KOLKATA -1","28-Aug-2024","30-Jan-2026","2651990","Sanction"
"1060","Normal/Others","WS/MP18173/2024-2025/137444-Construction of bus-sheds or bus-stops","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Construction of Bus Shelter at Eramalur Panchayat","05-Sep-2024","21-Oct-2024","999500","Physical Inspection"
"1061","Normal/Others","WS/MP18173/2024-2025/137445-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Providing Cement Concrete Pavement near Chettiyar Street in Eramalur Panchayat","05-Sep-2024","21-Oct-2024","199980","Physical Inspection"
"1062","Normal/Others","WS/MP18173/2024-2025/137446-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Providing Cement Concrete Pavement near Velalar Street in Kilkodungalore Panchayat","05-Sep-2024","21-Oct-2024","499950","Physical Inspection"
"1063","Normal/Others","WS/MP18173/2024-2025/137447-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Providing Cement Concrete Pavement near Vadavandai Street in Ariyathur Panchayat","05-Sep-2024","21-Oct-2024","499950","Physical Inspection"
"1064","Normal/Others","WS/MP18173/2024-2025/137448-Construction of boundary walls of existing public and community buildings","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Compound wall at PUE School in Karanai Panchayat","05-Sep-2024","21-Oct-2024","499950","Physical Inspection"
"1065","Normal/Others","WS/MP18173/2024-2025/137449-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Providing Cement Concrete Pavement Opposite Mariyamman Koil in Karam Panchayat","05-Sep-2024","21-Oct-2024","299970","Physical Inspection"
"1066","Normal/Others","WS/MP18173/2024-2025/137450-Providing drains and gutters for public drainage","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Construction of Side Drainage at Savadi Street in Thennagoor Panchayat","05-Sep-2024","21-Oct-2024","299970","Physical Inspection"
"1067","Normal/Others","WS/MP18173/2024-2025/137451-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Providing Cement Concrete Pavement Mariyamman Koil East Street in Sembur Panchayat","05-Sep-2024","21-Oct-2024","299970","Physical Inspection"
"1068","Normal/Others","WS/MP18173/2024-2025/137452-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Providing Cement Concrete Pavement near Ponniyamman Koil in Chitharukavur Panchayat","05-Sep-2024","27-Dec-2024","199940","Physical Inspection"
"1069","Normal/Others","WS/MP18173/2024-2025/137453-Construction of culverts and bridges","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Construction of RCC Slab Culvet @ Asthinapuram Junction","05-Sep-2024","27-Dec-2024","299940","Physical Inspection"
"1070","Normal/Others","WS/MP18173/2024-2025/137454-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Providing Cement Concrete Pavement at Bajanai Koil in S. Katteri Panchayat","05-Sep-2024","27-Dec-2024","499850","Physical Inspection"
"1071","Normal/Others","WS/MP18173/2024-2025/137458-Construction of community centers and community halls","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Construction Threshing Floor at Kothandaram Panchayat","05-Sep-2024","27-Dec-2024","499848","Physical Inspection"
"1072","Normal/Others","WS/MP18173/2024-2025/137460-Purchase of hospital equipment","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Providing Radiant Warmer at Primary Health Centre (PHC) in Nallur","05-Sep-2024","14-Feb-2025","61488","Physical Inspection"
"1073","Normal/Others","WS/MP18173/2024-2025/137461-Purchase of hospital equipment","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Providing Radiant Warmer at Primary Health Centre (PHC) in Desur","05-Sep-2024","14-Feb-2025","61488","Physical Inspection"
"1074","Normal/Others","WS/MP18173/2024-2025/137467-Construction of community centers and community halls","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Construction Threshing Floor at ADC Arasur Panchayat","05-Sep-2024","21-Oct-2024","499900","Physical Inspection"
"1075","Normal/Others","WS/MP508/2024-2025/137468-Street lights","Tamil Nadu","Tirupathur(District Collector Tirupathur_IDA)","CN Annadurai","TIRUVANNAMALAI","Providing LED Street Light arrangements in pakkirithaka at Katteri panchayat km 0/0-0/300","28-Aug-2024","12-Mar-2025","1000000","Work Completed"
"1076","Normal/Others","WS/MP508/2024-2025/137469-Street lights","Tamil Nadu","Tirupathur(District Collector Tirupathur_IDA)","CN Annadurai","TIRUVANNAMALAI","Providing LED Street Light arrangements in pakkirithaka at Katteri panchayat km 0/301-0/600","28-Aug-2024","12-Mar-2025","1000000","Work Completed"
"1077","Normal/Others","WS/MP508/2024-2025/137470-Street lights","Tamil Nadu","Tirupathur(District Collector Tirupathur_IDA)","CN Annadurai","TIRUVANNAMALAI","Providing LED Street Light arrangements in Koratti at Kandali Block km 0/0-0/300","28-Aug-2024","12-Mar-2025","1000000","Work Completed"
"1078","Normal/Others","WS/MP508/2024-2025/137471-Street lights","Tamil Nadu","Tirupathur(District Collector Tirupathur_IDA)","CN Annadurai","TIRUVANNAMALAI","Providing LED Street Light arrangements in Koratti at Kandali Block km 0/301-0/600","28-Aug-2024","12-Mar-2025","1000000","Work Completed"
