"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"3354","Normal/Others","WS/MP582/2024-2025/141920-Lighting of public spaces","Gujarat","SURAT(DISTRICT COLLECTOR SURAT_IDA)","Prabhubhai Nagarbhai Vasava","BARDOLI(ST)","the following facility work regarding placing electricity pole near the field in front of the P.S., fixing till commissioning 11.00 M.T.R.G.I. Tuber Light Poles with 150 Volt 6 Flooded LEDs Lights Attachment and Leader with 1 Year Maintenance Work Nos.1, at Balalkuva village Near Bhathiji Mandir Chok, Taluka Umarpada, District Surat","20-Sep-2024","07-Dec-2024","191850","Physical Inspection"
"3355","Normal/Others","WS/MP582/2024-2025/141923-Lighting of public spaces","Gujarat","SURAT(DISTRICT COLLECTOR SURAT_IDA)","Prabhubhai Nagarbhai Vasava","BARDOLI(ST)","the following facility work regarding placing electricity pole near the field in front of the P.S., fixing till commissioning 11.00 M.T.R.G.I. Tuber Light Poles with 150 Volt 6 Flooded LEDs Lights Attachment and Leader with 1 Year Maintenance Work Nos.1, at Gundikuva village Near Bhathiji mandir Taluka Umarpada, District Surat","20-Sep-2024","07-Dec-2024","191850","Physical Inspection"
"3356","Normal/Others","WS/MP582/2024-2025/141926-Lighting of public spaces","Gujarat","SURAT(DISTRICT COLLECTOR SURAT_IDA)","Prabhubhai Nagarbhai Vasava","BARDOLI(ST)","the following facility work regarding placing electricity pole near the field in front of the P.S., fixing till commissioning 11.00 M.T.R.G.I. Tuber Light Poles with 150 Volt 6 Flooded LEDs Lights Attachment and Leader with 1 Year Maintenance Work Nos.1, at umbhariya village Near Sat kaival mandir Taluka Umarpada, District Surat","20-Sep-2024","07-Dec-2024","191850","Physical Inspection"
"3357","Normal/Others","WS/MP582/2024-2025/141928-Lighting of public spaces","Gujarat","SURAT(DISTRICT COLLECTOR SURAT_IDA)","Prabhubhai Nagarbhai Vasava","BARDOLI(ST)","the following facility work regarding placing electricity pole near the field in front of the P.S., fixing till commissioning 11.00 M.T.R.G.I. Tuber Light Poles with 150 Volt 6 Flooded LEDs Lights Attachment and Leader with 1 Year Maintenance Work Nos.1, at Kali jaman village Near Holi chakla chok, Taluka Umarpada, District Surat","20-Sep-2024","07-Dec-2024","191850","Physical Inspection"
"3358","Normal/Others","WS/MP582/2025-2026/141929-Lighting of public spaces","Gujarat","SURAT(DISTRICT COLLECTOR SURAT_IDA)","Prabhubhai Nagarbhai Vasava","BARDOLI(ST)","the following facility work regarding placing electricity pole near the field in front of the P.S., fixing till commissioning 11.00 M.T.R.G.I. Tuber Light Poles with 150 Volt 6 Flooded LEDs Lights Attachment and Leader with 1 Year Maintenance Work Nos.1, at kevadi village near Surat District bank, Taluka Umarpada, District Surat","20-Sep-2024","10-Jul-2025","177500","Physical Inspection"
"3359","Normal/Others","WS/MP18006/2024-2025/141947-Construction of water tanks","Andhra Pradesh","CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)","DAGGUMALLA PRASADA RAO","CHITTOOR","Construction of 60KL, ELSR at Kondamitta (Vinayakapuram) in wardno.28 in Chittoor Municipal Corporation, Chittoor Constituency.","23-Sep-2024","09-Oct-2024","3100000","Physical Inspection"
"3360","Normal/Others","WS/MP18339/2024-2025/141956-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GONDA(DISTRICT MAGISTRATE GONDA_IDA)","KARAN BHUSHAN SINGH","KAISERGANJ","Sr.No 01 Interlocking work of 350 meter length of Gogia pucca road from Ganga Pandit's house to Barjorpurwa.","20-Sep-2024","20-Nov-2024","1820000","Physical Inspection"
"3361","Normal/Others","WS/MP18339/2024-2025/141957-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GONDA(DISTRICT MAGISTRATE GONDA_IDA)","KARAN BHUSHAN SINGH","KAISERGANJ","Sr.No 02 Interlocking work of 250 m length from paved road in Chandpur to Khandaranpurwa.","20-Sep-2024","20-Nov-2024","1307000","Work partially Completed"
"3362","Normal/Others","WS/MP18339/2024-2025/141958-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GONDA(DISTRICT MAGISTRATE GONDA_IDA)","KARAN BHUSHAN SINGH","KAISERGANJ","Sr.No. 03 Interlocking work of 300 meters length from Khatranpurwa pucca road to Karanpur border.","20-Sep-2024","20-Nov-2024","1567000","Work partially Completed"
"3363","Normal/Others","WS/MP18339/2024-2025/141960-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GONDA(DISTRICT MAGISTRATE GONDA_IDA)","KARAN BHUSHAN SINGH","KAISERGANJ","Sr.No. 05 Interlocking work of 250 meters length from Shankar's house to Rinku's field in kalahansanpurwa.","20-Sep-2024","20-Nov-2024","1359000","Vendor Identification"
"3364","Normal/Others","WS/MP18339/2024-2025/141961-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GONDA(DISTRICT MAGISTRATE GONDA_IDA)","KARAN BHUSHAN SINGH","KAISERGANJ","Sr.No. 06 Interlocking work of 250 meters length from Amarpal's farm on Dhamraiya road to Mahesh Singh's house via Madhaipur village.","20-Sep-2024","20-Nov-2024","1313000","Work partially Completed"
"3365","Normal/Others","WS/MP18095/2025-2026/141963-Setting up of laboratories","Kerala","ALAPPUZHA(DISTRICT COLLECTOR ALAPPUZHA_IDA)","K. C VENUGOPAL","ALAPPUZHA","Maths – Computer Lab Furnishing for Govt. Girls HSS, Cherthala     1) MDF Table for Teacher with one draw and one cupboard 120cmx60cmx75cm – 1 No.     2) Lap Top Table for student with side partition (8 seating) 880cmx50cmx75cm with one draw with Lock in each seat – 1 No.     3) Lap Top Table for student with side partition (7 seating) 560cmx50cmx75cm with one draw with Lock in each seat – 1 No.     4) Lap Top Table for student 560cmx110cmx75cm (14 seating) with central & side partition, etc","20-Sep-2024","27-Nov-2025","499776","Physical Inspection"
"3366","Normal/Others","WS/MP18339/2024-2025/141964-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GONDA(DISTRICT MAGISTRATE GONDA_IDA)","KARAN BHUSHAN SINGH","KAISERGANJ","Sr.No. 01 Interlocking and palisade construction work of 300 m length from Aryanagar Khargupur road to Harraiya road in Hudwa of Pipra Choubey.","20-Sep-2024","20-Nov-2024","1578000","Vendor Identification"
"3367","Normal/Others","WS/MP18339/2024-2025/141965-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GONDA(DISTRICT MAGISTRATE GONDA_IDA)","KARAN BHUSHAN SINGH","KAISERGANJ","Sr.No 02 Interlocking work of 160 meters length from the paved road in Selhari Diha to the primary school via Mataji's place.","20-Sep-2024","20-Nov-2024","769000","Work partially Completed"
"3368","Normal/Others","WS/MP18339/2024-2025/141966-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GONDA(DISTRICT MAGISTRATE GONDA_IDA)","KARAN BHUSHAN SINGH","KAISERGANJ","Sr.No. 03 Interlocking work of 250 m length from Poorepathak Chandpur to Shuklanpurwa.","20-Sep-2024","20-Nov-2024","1269000","Work partially Completed"
"3369","Normal/Others","WS/MP18339/2024-2025/141968-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GONDA(DISTRICT MAGISTRATE GONDA_IDA)","KARAN BHUSHAN SINGH","KAISERGANJ","Sr.No. 05 Interlocking work of 300 meters length from Katra Balpur road to Lambardarpurwa and Panditpurwa.","20-Sep-2024","20-Nov-2024","1436000","Work partially Completed"
"3370","Normal/Others","WS/MP18153/2024-2025/141971-Purchase of mobile water tankers","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Purchase of Mobile Water Tanker at Village jamit Pur Dheru (capacity 3000 Ltrs.)","20-Sep-2024","28-Oct-2024","240934","Physical Inspection"
"3371","Normal/Others","WS/MP18153/2024-2025/141972-Purchase of mobile water tankers","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Purchase of Mobile Water Tanker at Village Fattu Wala (capacity 3000 Ltrs.)","20-Sep-2024","28-Oct-2024","238099","Physical Inspection"
"3372","Normal/Others","WS/MP18153/2024-2025/141973-Purchase of mobile water tankers","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Purchase of Mobile Water Tanker at Village Bur Wala (capacity 3000 Ltrs.)","20-Sep-2024","28-Oct-2024","240570","Physical Inspection"
"3373","Normal/Others","WS/MP18153/2024-2025/141974-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Installtion of RO System at Govt. Primary School Rukna Begu ( Capacity 500 Ltrs)","20-Sep-2024","28-Oct-2024","232415","Physical Inspection"
"3374","Normal/Others","WS/MP18153/2024-2025/141975-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Installtion of RO System at Govt. Sen. Sec  School Rukna Begu ( Capacity 500 Ltrs)","20-Sep-2024","28-Oct-2024","233002","Physical Inspection"
"3375","Normal/Others","WS/MP18153/2024-2025/141976-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Installtion of RO System at Govt. Primary School Sulhani ( Capacity 500 Ltrs)","20-Sep-2024","28-Oct-2024","232415","Physical Inspection"
"3376","Normal/Others","WS/MP18153/2024-2025/141977-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Installtion of RO System at Govt. Primary School Mahalam ( Capacity 500 Ltrs)","20-Sep-2024","28-Oct-2024","232650","Physical Inspection"
"3377","Normal/Others","WS/MP18153/2024-2025/141978-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Installtion of RO System at Govt. Sen. Sec. School Lakha Hazi ( Capacity 500 Ltrs)","20-Sep-2024","28-Oct-2024","232885","Physical Inspection"
"3378","Normal/Others","WS/MP18153/2024-2025/141979-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Installtion of RO System at Govt. High School Rahime Ke Uttar ( Capacity 500 Ltrs)","20-Sep-2024","28-Oct-2024","232532","Physical Inspection"
"3379","Normal/Others","WS/MP18153/2024-2025/141980-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Installtion of RO System at Govt. Primary School Kada Bora ( Capacity 500 Ltrs)","20-Sep-2024","28-Oct-2024","232415","Physical Inspection"
"3380","Normal/Others","WS/MP18153/2024-2025/141981-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Installtion of RO System at Govt. Primary School Saran Wali ( Capacity 500 Ltrs)","20-Sep-2024","28-Oct-2024","232368","Physical Inspection"
"3381","Normal/Others","WS/MP18153/2024-2025/141982-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Installtion of RO System at Govt. Primary School Game wala ( Capacity 500 Ltrs)","20-Sep-2024","28-Oct-2024","232885","Physical Inspection"
"3382","Normal/Others","WS/MP18153/2024-2025/141983-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Installtion of RO System at Govt. Primary School Ghall Khurd ( Capacity 500 Ltrs)","20-Sep-2024","28-Oct-2024","233002","Physical Inspection"
"3383","Normal/Others","WS/MP18153/2024-2025/141984-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Installtion of RO System at Govt. Primary Smart School Gandu Kilcha Uttar ( Capacity 500 Ltrs)","20-Sep-2024","28-Oct-2024","232650","Physical Inspection"
"3384","Normal/Others","WS/MP18153/2024-2025/141985-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Installtion of RO System at Govt. Primary Smart School Yare Shah Wala  ( Capacity 500 Ltrs)","20-Sep-2024","28-Oct-2024","232532","Physical Inspection"
"3385","Normal/Others","WS/MP18153/2024-2025/141986-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Installtion of RO System at Govt. Primary School Changali Qudim ( Capacity 500 Ltrs)","20-Sep-2024","28-Oct-2024","233002","Physical Inspection"
"3386","Normal/Others","WS/MP18153/2024-2025/141987-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Installtion of RO System at Govt. Primary School Mohkam Khan Wala ( Capacity 500 Ltrs)","20-Sep-2024","28-Oct-2024","233002","Physical Inspection"
"3387","Normal/Others","WS/MP18153/2024-2025/141988-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Installtion of RO System at Govt. Primary School kaku Wala ( Capacity 500 Ltrs)","20-Sep-2024","28-Oct-2024","232650","Physical Inspection"
"3388","Normal/Others","WS/MP18153/2024-2025/141989-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Installtion of RO System at Govt. Middle School Jodhpur( Capacity 500 Ltrs)","20-Sep-2024","28-Oct-2024","232297","Physical Inspection"
"3389","Normal/Others","WS/MP18153/2024-2025/141990-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Installtion of RO System at Govt. Primary School Chugate Wala ( Capacity 500 Ltrs)","20-Sep-2024","28-Oct-2024","232532","Physical Inspection"
"3390","Normal/Others","WS/MP18153/2024-2025/141991-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Installtion of RO System at Govt. Primary School Takhtu Wala ( Capacity 500 Ltrs)","20-Sep-2024","28-Oct-2024","232885","Physical Inspection"
"3391","Normal/Others","WS/MP18153/2024-2025/141992-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Installtion of RO System at Govt. High smart School Piyareana ( Capacity 500 Ltrs)","20-Sep-2024","28-Oct-2024","232650","Physical Inspection"
"3392","Normal/Others","WS/MP18153/2024-2025/141993-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Installtion of RO System at Govt. Primary School Piyareana ( Capacity 500 Ltrs)","20-Sep-2024","28-Oct-2024","232767","Physical Inspection"
"3393","Normal/Others","WS/MP18153/2024-2025/141994-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Installtion of RO System at Govt. Primary School Mehal Singh Wala ( Capacity 500 Ltrs)","20-Sep-2024","28-Oct-2024","232650","Physical Inspection"
"3394","Normal/Others","WS/MP18153/2024-2025/141995-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Installtion of RO System at Govt. High School Mishri Wala ( Capacity 500 Ltrs)","20-Sep-2024","28-Oct-2024","232650","Physical Inspection"
"3395","Normal/Others","WS/MP18153/2024-2025/141996-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Installtion of RO System at Govt. Elementary School Wan ( Capacity 500 Ltrs)","20-Sep-2024","28-Oct-2024","232532","Physical Inspection"
"3396","Normal/Others","WS/MP18339/2024-2025/141998-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GONDA(DISTRICT MAGISTRATE GONDA_IDA)","KARAN BHUSHAN SINGH","KAISERGANJ","Sr.No. 01 Interlocking work of 350 meters length from Sher Singh Rana's house to Mukundpur Diha.","20-Sep-2024","20-Nov-2024","1829000","Vendor Identification"
"3397","Normal/Others","WS/MP18339/2024-2025/141999-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GONDA(DISTRICT MAGISTRATE GONDA_IDA)","KARAN BHUSHAN SINGH","KAISERGANJ","Sr.No 02 Interlocking work of 250 meters length from the pucca road to Shuklapurwa Ghurghur Chauhan's house.","20-Sep-2024","20-Nov-2024","1309000","Work partially Completed"
"3398","Normal/Others","WS/MP18339/2024-2025/142000-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GONDA(DISTRICT MAGISTRATE GONDA_IDA)","KARAN BHUSHAN SINGH","KAISERGANJ","Sr.No. 03 Interlocking work in 400 meter length from Panchayat Bhawan to Pathakpurwa.","20-Sep-2024","20-Nov-2024","1893000","Work partially Completed"
"3399","Normal/Others","WS/MP18339/2024-2025/142001-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GONDA(DISTRICT MAGISTRATE GONDA_IDA)","KARAN BHUSHAN SINGH","KAISERGANJ","Sr.No. 04 Interlocking work in 250 meter length from pucca road to Nathaipurwa.","20-Sep-2024","20-Nov-2024","1308000","Work partially Completed"
"3400","Normal/Others","WS/MP18339/2024-2025/142002-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GONDA(DISTRICT MAGISTRATE GONDA_IDA)","KARAN BHUSHAN SINGH","KAISERGANJ","Sr.No. 05 Interlocking work of 300 meters length from Pura Pathak Chandpur to Shuklanpurwa via Badhaipurwa in Gram Sabha Kondar till Shyampurwa.","20-Sep-2024","20-Nov-2024","1556000","Work partially Completed"
"3401","Normal/Others","WS/MP18339/2024-2025/142003-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GONDA(DISTRICT MAGISTRATE GONDA_IDA)","KARAN BHUSHAN SINGH","KAISERGANJ","Sr.No. 06 Interlocking work of 450 m length in Tomarpurwa of Gram Panchayat Chandipur.","20-Sep-2024","20-Nov-2024","2320000","Work partially Completed"
"3402","Normal/Others","WS/MP18339/2024-2025/142004-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GONDA(DISTRICT MAGISTRATE GONDA_IDA)","KARAN BHUSHAN SINGH","KAISERGANJ","Sr.No. 09 Interlocking work of 135 meters length from PWD main road to Khedu Kori's house in Gram Sabha Sidhauti.","20-Sep-2024","20-Nov-2024","706000","Work Completed"
"3403","Normal/Others","WS/MP18339/2024-2025/142005-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GONDA(DISTRICT MAGISTRATE GONDA_IDA)","KARAN BHUSHAN SINGH","KAISERGANJ","Sr.No. 10 Interlocking work of 400 m length from Pradhan Mantri Paraspatti Bahadurpur road to Shankar Bhagwan's place.","20-Sep-2024","20-Nov-2024","2076709","Physical Inspection"
"3404","Normal/Others","WS/MP18339/2024-2025/142006-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GONDA(DISTRICT MAGISTRATE GONDA_IDA)","KARAN BHUSHAN SINGH","KAISERGANJ","Sr.No. 11 Interlocking work of 200 meters length from Lavkush Mishra's shop to Chandhri Maurya's house.","20-Sep-2024","20-Nov-2024","1039280","Physical Inspection"
"3405","Normal/Others","WS/MP18238/2024-2025/142011-Street lights","Uttar Pradesh","DEORIA(DISTRICT MAGISTRATE DEORIA)","RAMASHANKAR RAJBHAR","SALEMPUR","One 9 meter high mast LED light in gram bharsar chauraha, development block-Bankata","24-Sep-2024","06-Feb-2025","312780","Physical Inspection"
"3406","Normal/Others","WS/MP18238/2024-2025/142012-Street lights","Uttar Pradesh","DEORIA(DISTRICT MAGISTRATE DEORIA)","RAMASHANKAR RAJBHAR","SALEMPUR","One 9 meter high mast LED light on balwa afgan bajar chauraha, development block bhatni","24-Sep-2024","06-Feb-2025","312780","Physical Inspection"
"3407","Normal/Others","WS/MP18238/2024-2025/142016-Street lights","Uttar Pradesh","DEORIA(DISTRICT MAGISTRATE DEORIA)","RAMASHANKAR RAJBHAR","SALEMPUR","One 9 meter high mast LED light on dhanouti chauraha","24-Sep-2024","06-Feb-2025","312780","Physical Inspection"
"3408","Normal/Others","WS/MP18238/2024-2025/142017-Street lights","Uttar Pradesh","DEORIA(DISTRICT MAGISTRATE DEORIA)","RAMASHANKAR RAJBHAR","SALEMPUR","One 9 meter high mast LED light on ratsiya mod chauraha, town area bhatpar rani","24-Sep-2024","06-Feb-2025","312780","Physical Inspection"
"3409","Normal/Others","WS/MP541/2026-2027/142020-Construction of road under bridge","Assam","NAGAON(DEPUTY COMMISSIONER NOWGONG_IDA)","Pradyut Bordoloi","NOWGONG","Improvement of road with sand Gravelling from Kaoimari Charialli to  Mustafa Ahmed House","20-Sep-2024","26-Aug-2026","200000","Sanction"
"3410","Normal/Others","WS/MP18117/2024-2025/142021-Purchase of smart boards, visual display units and projectors","Maharashtra","DHULE(DISTRICT COLLECTOR DHULE_IDA)","BACHHAV SHOBHA DINESH","DHULE","Supply interactive board , computer , vc camera (for two class room)  at   shri kapileshwar madhymik vidhyalay mudavad tal shindkheda","20-Sep-2024","02-Dec-2024","1000000","Physical Inspection"
"3411","Normal/Others","WS/MP18117/2024-2025/142022-Purchase of smart boards, visual display units and projectors","Maharashtra","DHULE(DISTRICT COLLECTOR DHULE_IDA)","BACHHAV SHOBHA DINESH","DHULE","Supply interactive board , computer , vc camera (for two class room) at priyadarshani indira gandhi madhymik vidhyalay v kanisth mahavidhyaly betavad tal shindhkheda","20-Sep-2024","02-Dec-2024","1000000","Physical Inspection"
"3412","Normal/Others","WS/MP858/2024-2025/142023-Street lights","West Bengal","BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA)","Asit Kumar Mal","BOLPUR(SC)","Installation of LED street light (60watt)from labpur Sastinagar Bus Stop to Laghata Rail Sub-Way via Labpur New Bus Stand (Lenth 2.75km) Executing Agency will be EO LABPUR PANCHAYAT SAMITY.","20-Sep-2024","02-Dec-2024","5215848","Physical Inspection"
"3413","Normal/Others","WS/MP18250/2024-2025/142038-Construction of water tanks","West Bengal","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","SK NURUL ISLAM","BASIRHAT","Installation of 4nos. Eletric based water tank under Sangrampur Shibhati G.P & Basirhat I Panchayat Samity. (Sl No.-1 to 4)","20-Sep-2024","26-Mar-2025","1400000","Vendor Identification"
"3414","Normal/Others","WS/MP18250/2025-2026/142039-Construction of water tanks","West Bengal","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","SK NURUL ISLAM","BASIRHAT","Installation of 3nos. Eletric based water tank and street solar light under Srinagar Matia G.P & Basirhat II Panchayat Samity. (Sl No.-5 to 7)","20-Sep-2024","27-Feb-2026","2660000","Vendor Identification"
"3415","Normal/Others","WS/MP18250/2024-2025/142043-Construction of water tanks","West Bengal","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","SK NURUL ISLAM","BASIRHAT","Installation of street solar light and 7nos. of Eletric based water tank under Falti Beliaghata G.P & Barasat II Panchayat Samity. (Sl No.-8 to 15)","20-Sep-2024","08-Jan-2025","4257482","Physical Inspection"
"3416","Normal/Others","WS/MP18250/2024-2025/142044-Street lights","West Bengal","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","SK NURUL ISLAM","BASIRHAT","Installation of 7nos. of Eletric street light under Ghorarash Kulingram G.P & Basirhat II Panchayat Samity. (Sl No.-16 to 22)","20-Sep-2024","20-Dec-2024","2423246","Physical Inspection"
"3417","Normal/Others","WS/MP18250/2024-2025/142045-Street lights","West Bengal","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","SK NURUL ISLAM","BASIRHAT","Installation of 7nos. of Eletric street light under Kachua G.P & Basirhat II Panchayat Samity. (Sl No.-23 to 27)","20-Sep-2024","28-Jan-2025","1732500","Vendor Identification"
"3418","Normal/Others","WS/MP632/2025-2026/142059-Purchase of ambulances (Four, three and two wheelers)","Kerala","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Anto Antony","PATHANAMTHITTA","Purchase of Vechicle for Mobile Dispensary at Community Health Centre in Erumely Grama Panchayat.","20-Sep-2024","05-Nov-2025","900000","Vendor Identification"
"3419","Normal/Others","WS/MP632/2024-2025/142060-Lighting of public spaces","Kerala","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Anto Antony","PATHANAMTHITTA","Providing 8 Meter LED Mini Mast Light In front of SNDP Gurumandiram, Erumely.","20-Sep-2024","24-Jan-2025","217501","Physical Inspection"
"3420","Normal/Others","WS/MP632/2025-2026/142061-Lighting of public spaces","Kerala","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Anto Antony","PATHANAMTHITTA","Providing 8 Meter LED Mini Mast Light at Thiruvambady Sreekrishna Swamy Temple Junction, Mukkoottuthara in Erumely Grama Panchayat.","20-Sep-2024","10-Sep-2025","250000","Sanction"
"3421","Normal/Others","WS/MP632/2024-2025/142062-Lighting of public spaces","Kerala","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Anto Antony","PATHANAMTHITTA","Providing 8 Meters LED Mini Mast Light at Thumarampara ST Colony (Sahrudaya Bhagam) in Erumely Grama Panchayat. (ST)","20-Sep-2024","16-Dec-2024","217501","Physical Inspection"
"3422","Normal/Others","WS/MP632/2024-2025/142064-Lighting of public spaces","Kerala","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Anto Antony","PATHANAMTHITTA","Providing 8 Meter LED Mini Mast Light in front of  St. Mary’s Church, Kanjirappally (Akkarappally) in Kanjirappally Grama Panchayat.","20-Sep-2024","12-Dec-2024","217501","Physical Inspection"
"3423","Normal/Others","WS/MP632/2025-2026/142065-Lighting of public spaces","Kerala","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Anto Antony","PATHANAMTHITTA","Providing 8 Meter LED Mini Mast Light at Cathedral Junction (St. Dominic’s Church, Kanjirappally) ion in Kanjirappally Grama Panchayat.","20-Sep-2024","26-Apr-2025","215789","Physical Inspection"
"3424","Normal/Others","WS/MP632/2024-2025/142066-Lighting of public spaces","Kerala","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Anto Antony","PATHANAMTHITTA","Providing 8 Meter LED Mini Mast Light at 26th Mile Junction in Kanjirappally Grama Panchayat.","20-Sep-2024","13-Dec-2024","217501","Physical Inspection"
