"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"17945","Gujarat","Purchase of books and periodicals for libraries/digitization of library books","WS/MP324/2025-2026/184174","GANDHINAGAR(DISTRICT COLLECTOR GANDHINAGAR_IDA)","Shri Amit Shah","GANDHINAGAR","07-Jan-2026","Navbharat Sahitya Mandir","Payment Success","184637"
"17946","Gujarat","Purchase of books and periodicals for libraries/digitization of library books","WS/MP324/2025-2026/185966","GANDHINAGAR(DISTRICT COLLECTOR GANDHINAGAR_IDA)","Shri Amit Shah","GANDHINAGAR","07-Jan-2026","Navbharat Sahitya Mandir","Payment Success","184637"
"17947","Gujarat","Purchase of books and periodicals for libraries/digitization of library books","WS/MP324/2025-2026/185964","GANDHINAGAR(DISTRICT COLLECTOR GANDHINAGAR_IDA)","Shri Amit Shah","GANDHINAGAR","07-Jan-2026","Navbharat Sahitya Mandir","Payment Success","184637"
"17948","Gujarat","Purchase of books and periodicals for libraries/digitization of library books","WS/MP324/2025-2026/184163","GANDHINAGAR(DISTRICT COLLECTOR GANDHINAGAR_IDA)","Shri Amit Shah","GANDHINAGAR","07-Jan-2026","Navbharat Sahitya Mandir","Payment Success","184637"
"17949","Gujarat","Purchase of books and periodicals for libraries/digitization of library books","WS/MP324/2025-2026/184167","GANDHINAGAR(DISTRICT COLLECTOR GANDHINAGAR_IDA)","Shri Amit Shah","GANDHINAGAR","07-Jan-2026","Navbharat Sahitya Mandir","Payment Success","184637"
"17950","Gujarat","Purchase of books and periodicals for libraries/digitization of library books","WS/MP324/2025-2026/184168","GANDHINAGAR(DISTRICT COLLECTOR GANDHINAGAR_IDA)","Shri Amit Shah","GANDHINAGAR","07-Jan-2026","Navbharat Sahitya Mandir","Payment Success","184637"
"17951","Jammu And Kashmir","Construction of public toilets and bathrooms","WS/MP600/2024-2025/148197","UDHAMPUR(Deputy Commissioner Udhampur_IDA)","Jitendra Singh","UDHAMPUR","07-Jan-2026","Vikram Singh","Payment Success","172000"
"17952","Haryana","Tree plantation for community","WS/MP18067/2025-2026/178887","JIND(DEPUTY COMMISSIONER JIND)","SATPAL BRAHAMCHARI","SONEPAT","05-Feb-2026","Mor Traders","Payment Success","1812225"
"17953","Haryana","Construction of shelters for animals","WS/MP18067/2025-2026/179189","JIND(DEPUTY COMMISSIONER JIND)","SATPAL BRAHAMCHARI","SONEPAT","06-Feb-2026","Mor Traders","Payment Success","470673"
"17954","Haryana","Construction of community centers and community halls","WS/MP18067/2025-2026/179185","JIND(DEPUTY COMMISSIONER JIND)","SATPAL BRAHAMCHARI","SONEPAT","06-Feb-2026","Mor Traders","Payment Success","26770"
"17955","Haryana","Construction of common work sheds/ common covered sitting area","WS/MP18067/2025-2026/180213","JIND(DEPUTY COMMISSIONER JIND)","SATPAL BRAHAMCHARI","SONEPAT","12-Feb-2026","Mor Traders","Payment Success","442870"
"17956","Haryana","Tree plantation for community","WS/MP18067/2025-2026/178887","JIND(DEPUTY COMMISSIONER JIND)","SATPAL BRAHAMCHARI","SONEPAT","05-Feb-2026","Ms Krishna Bhatta","Payment Success","54060"
"17957","Haryana","Construction of community centers and community halls","WS/MP18067/2025-2026/179182","JIND(DEPUTY COMMISSIONER JIND)","SATPAL BRAHAMCHARI","SONEPAT","05-Feb-2026","Ms Krishna Bhatta","Payment Success","14416"
"17958","Haryana","Construction of community centers and community halls","WS/MP18067/2025-2026/179182","JIND(DEPUTY COMMISSIONER JIND)","SATPAL BRAHAMCHARI","SONEPAT","05-Feb-2026","Kisan Building material supplier","Payment Success","40328"
"17959","Haryana","Construction of common work sheds/ common covered sitting area","WS/MP18067/2025-2026/180213","JIND(DEPUTY COMMISSIONER JIND)","SATPAL BRAHAMCHARI","SONEPAT","12-Feb-2026","Kisan Building material supplier","Payment Success","4449"
"17960","Haryana","Construction of shelters for animals","WS/MP18067/2025-2026/179189","JIND(DEPUTY COMMISSIONER JIND)","SATPAL BRAHAMCHARI","SONEPAT","06-Feb-2026","Kisan Building material supplier","Payment Success","16930"
"17961","Haryana","Construction of community centers and community halls","WS/MP18067/2025-2026/179182","JIND(DEPUTY COMMISSIONER JIND)","SATPAL BRAHAMCHARI","SONEPAT","05-Feb-2026","Jindal Chips Store","Payment Success","501607"
"17962","Haryana","Construction of community centers and community halls","WS/MP18067/2025-2026/179182","JIND(DEPUTY COMMISSIONER JIND)","SATPAL BRAHAMCHARI","SONEPAT","05-Feb-2026","Jaglan Electric and Hardware Store","Payment Success","340872"
"17963","Haryana","Construction of community centers and community halls","WS/MP18067/2025-2026/179182","JIND(DEPUTY COMMISSIONER JIND)","SATPAL BRAHAMCHARI","SONEPAT","05-Feb-2026","Lakshit Trading company","Payment Success","375914"
"17964","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18328/2025-2026/242431","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","03-Jan-2026","Gram Panchayat Bhadarwar","Payment Success","150000"
