work_id,anomaly_prediction,is_anomaly,anomaly_score,lof_prediction,lof_is_anomaly,lof_score,both_models_anomaly,any_model_anomaly,if_normalized_score,lof_normalized_score,if_risk_score,lof_risk_score,combined_anomaly_score,ensemble_is_anomaly,ensemble_risk_level,rule_risk_score,rule_risk_level,risk_factors,recommended_actions,risk_factor_count,recommended_amount,sanction_amount,total_expenditure,expenditure_ratio,financial_risk_score,financial_risk_level,financial_risk_factors,ensemble_ai_score,final_ai_risk_score,final_ai_risk_level
WS/MP577/2024-2025/133575,1,0,0.2154197416330463,1,0,-0.9988374966376092,0,0,0.9472615530468784,0.9999999999999998,0.0527384469531215,2.220446049250313e-16,0.031643068171873,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,250000.0,250000.0,249291.0,0.997164,10.0,MEDIUM,"['High payment concentration per vendor', 'Large number of payments concentrated among very few vendors']",5.273844695311985,7.64,LOW
WS/MP577/2025-2026/133579,1,0,0.2170557180887293,1,0,-1.0052740741675217,0,0,0.9510897268007168,0.9999999999999998,0.0489102731992832,2.220446049250313e-16,0.02934616391957,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,247496.0,247496.0,247496.0,1.0,10.0,MEDIUM,"['High payment concentration per vendor', 'Large number of payments concentrated among very few vendors']",4.891027319928157,7.45,LOW
WS/MP577/2024-2025/133584,1,0,0.2172831024080728,1,0,-0.9939594173494588,0,0,0.9516218045579004,0.9999999999999998,0.0483781954420995,2.220446049250313e-16,0.0290269172652598,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,249291.0,249291.0,249291.0,1.0,10.0,MEDIUM,"['High payment concentration per vendor', 'Large number of payments concentrated among very few vendors']",4.8378195442097915,7.42,LOW
WS/MP577/2024-2025/133585,1,0,0.2154197416330463,1,0,-0.9988374966376092,0,0,0.9472615530468784,0.9999999999999998,0.0527384469531215,2.220446049250313e-16,0.031643068171873,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,250000.0,250000.0,249291.0,0.997164,10.0,MEDIUM,"['High payment concentration per vendor', 'Large number of payments concentrated among very few vendors']",5.273844695311985,7.64,LOW
WS/MP577/2024-2025/133588,1,0,0.2154197416330463,1,0,-0.9988374966376092,0,0,0.9472615530468784,0.9999999999999998,0.0527384469531215,2.220446049250313e-16,0.031643068171873,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,250000.0,250000.0,249291.0,0.997164,10.0,MEDIUM,"['High payment concentration per vendor', 'Large number of payments concentrated among very few vendors']",5.273844695311985,7.64,LOW
WS/MP577/2025-2026/133591,1,0,0.2122768970489921,1,0,-0.9988374966375322,0,0,0.9399073181449796,0.9999999999999998,0.0600926818550204,2.220446049250313e-16,0.0360556091130123,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,250000.0,250000.0,248443.0,0.993772,10.0,MEDIUM,"['High payment concentration per vendor', 'Large number of payments concentrated among very few vendors']",6.00926818550186,8.0,LOW
WS/MP577/2024-2025/133592,1,0,0.2172831024080728,1,0,-0.9939594173494588,0,0,0.9516218045579004,0.9999999999999998,0.0483781954420995,2.220446049250313e-16,0.0290269172652598,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,249291.0,249291.0,249291.0,1.0,10.0,MEDIUM,"['High payment concentration per vendor', 'Large number of payments concentrated among very few vendors']",4.8378195442097915,7.42,LOW
WS/MP577/2024-2025/133597,1,0,0.2172831024080728,1,0,-0.9939594173494588,0,0,0.9516218045579004,0.9999999999999998,0.0483781954420995,2.220446049250313e-16,0.0290269172652598,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,249291.0,249291.0,249291.0,1.0,10.0,MEDIUM,"['High payment concentration per vendor', 'Large number of payments concentrated among very few vendors']",4.8378195442097915,7.42,LOW
WS/MP577/2024-2025/133600,1,0,0.2172831024080728,1,0,-0.9939594173494588,0,0,0.9516218045579004,0.9999999999999998,0.0483781954420995,2.220446049250313e-16,0.0290269172652598,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,249291.0,249291.0,249291.0,1.0,10.0,MEDIUM,"['High payment concentration per vendor', 'Large number of payments concentrated among very few vendors']",4.8378195442097915,7.42,LOW
WS/MP577/2024-2025/133601,1,0,0.2172831024080728,1,0,-0.9939594173494588,0,0,0.9516218045579004,0.9999999999999998,0.0483781954420995,2.220446049250313e-16,0.0290269172652598,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,249291.0,249291.0,249291.0,1.0,10.0,MEDIUM,"['High payment concentration per vendor', 'Large number of payments concentrated among very few vendors']",4.8378195442097915,7.42,LOW
