work_id,state,ida,honble_members_of_parliament,constituency,work_category,work_description,recommended_date,recommended_amount,sanction_date,sanction_amount,work_status,completion_date,completed_amount_disbursed,total_expenditure,payment_count,unique_vendors,has_sanction,has_completion,has_expenditure,sanction_delay_days,completion_duration_days,sanction_difference,expenditure_ratio,sanction_ratio,expenditure_difference,completion_amount_ratio,completion_amount_difference,payments_per_vendor,financial_year,recommended_year,recommended_month,anomaly_prediction,is_anomaly,anomaly_score,if_normalized_score,if_risk_score
WS/MP18167/2024-2025/160011,Rajasthan,JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA),BRIJENDRA SINGH OLA,JHUNJHUNU,Normal/Others,construction of water tank in muktidham (shamshan) of lakhoo. Working agency Gram panchayat Lakhoo.,2024-12-18,172370.0,,,,2026-05-08,172370.0,26390.0,4.0,4.0,0,1,1,,,,,,,,,1.0,2024-2025,2024,12,-1,1,-0.0293424993940975,0.3339216725758363,66.61
WS/MP18167/2024-2025/160012,Rajasthan,Neem Ka Thana(DISTRICT COLLECTOR Neem Ka Thana_IDA),BRIJENDRA SINGH OLA,JHUNJHUNU,Normal/Others,construction of interlock road from home of Rohtas towards home of Jagram. Working agency gram panchayat Mehara Jatuwas,2024-12-18,500000.0,,,,,,498001.0,10.0,10.0,0,0,1,,,,,,,,,1.0,2024-2025,2024,12,-1,1,-0.07113126640563194,0.22386277715511577,77.61
WS/MP18167/2024-2025/160013,Rajasthan,JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA),BRIJENDRA SINGH OLA,JHUNJHUNU,Normal/Others,Construction of interlock road in Mahatama Gandhi Rajkiya vidyala. Working agency gram panchayat Girdharpura-shahpura.,2024-12-18,494364.0,,,,2026-02-13,494364.0,55000.0,6.0,6.0,0,1,1,,,,,,,,,1.0,2024-2025,2024,12,-1,1,-0.06107485800929369,0.25034829656982244,74.97
WS/MP18167/2024-2025/160014,Rajasthan,JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA),BRIJENDRA SINGH OLA,JHUNJHUNU,Normal/Others,Construction of room with verandah in cummunity bhawan parisar of badiyawas. Working agency Gram panchayat Badwasi,2024-12-18,892680.0,,,,,,892680.0,1.0,1.0,0,0,1,,,,,,,,,1.0,2024-2025,2024,12,1,0,0.09771258745527522,0.6685461067537094,33.15
WS/MP18351/2024-2025/160016,Andhra Pradesh,Nandyal(DISTRICT COLLECTOR NANDYAL_IDA),DR BYREDDY SHABARI,NANDYAL,Normal/Others,Formation of  gravel Roads in Regadi lands Devendrudu lands to Visweswar reddy lands and other lands  in Mucchumarri(v) Pagidyala(M),2024-12-20,468997.0,,,,,,468997.0,1.0,1.0,0,0,1,,,,,,,,,1.0,2024-2025,2024,12,1,0,0.14847627828500665,0.8022422203207139,19.78
WS/MP18351/2024-2025/160017,Andhra Pradesh,Nandyal(DISTRICT COLLECTOR NANDYAL_IDA),DR BYREDDY SHABARI,NANDYAL,Normal/Others,Formation of  gravel Roads in Regadi lands  Viswasena  reddy lands to Kuruva sheshanna lands  and other lands  in Mucchumarri(v) Pagidyala(M),2024-12-20,456681.0,,,,,,456681.0,1.0,1.0,0,0,1,,,,,,,,,1.0,2024-2025,2024,12,1,0,0.14947424251637065,0.8048705544120978,19.51
WS/MP18351/2024-2025/160019,Andhra Pradesh,Nandyal(DISTRICT COLLECTOR NANDYAL_IDA),DR BYREDDY SHABARI,NANDYAL,Normal/Others,Providing Internal CC Roads(Bit1) in Erramatam of  Kothapalli Mandal,2024-12-20,481825.0,,,,,,481825.0,1.0,1.0,0,0,1,,,,,,,,,1.0,2024-2025,2024,12,1,0,0.14726128184927578,0.7990422894488665,20.1
WS/MP18351/2024-2025/160020,Andhra Pradesh,Nandyal(DISTRICT COLLECTOR NANDYAL_IDA),DR BYREDDY SHABARI,NANDYAL,Normal/Others,Providing Internal CC Roads(Bit2) in Erramatam of  Kothapalli Mandal,2024-12-20,499209.0,,,,,,499209.0,1.0,1.0,0,0,1,,,,,,,,,1.0,2024-2025,2024,12,1,0,0.14874189908302088,0.8029417846706779,19.71
WS/MP18351/2024-2025/160021,Andhra Pradesh,Nandyal(DISTRICT COLLECTOR NANDYAL_IDA),DR BYREDDY SHABARI,NANDYAL,Normal/Others,New Formation of approach roads with Gravel surface from Padmavathi Complex to Kundu Nadi ( korrapolu Rasta) of Thalamudipi (V&GP) of  Midthur(M) in Nandyal District.,2024-12-20,500000.0,,,,,,496758.0,1.0,1.0,0,0,1,,,,,,,,,1.0,2024-2025,2024,12,1,0,0.14886474448115772,0.8032653220658522,19.67
WS/MP18351/2024-2025/160022,Andhra Pradesh,Nandyal(DISTRICT COLLECTOR NANDYAL_IDA),DR BYREDDY SHABARI,NANDYAL,Normal/Others,New Formation of approach roads with Gravel surface from Nandyal BT Road to Allagadda polimera stone (allagadda rastha)   of Thalamudipi (V&GP) of  Midthur(M) in Nandyal District.,2024-12-20,500000.0,,,,,,499912.0,1.0,1.0,0,0,1,,,,,,,,,1.0,2024-2025,2024,12,1,0,0.14825788370986592,0.8016670354702198,19.83
WS/MP017/2026-2027/160023,Tamil Nadu,"Ranipet(District Collector, Ranipet_2)",S. Jagathrakshakan,ARAKKONAM,Normal/Others,construction of Cement road and bridge near Erimannur village,2024-12-19,3389297.0,,,,,,,,,0,0,0,,,,,,,,,,2026-2027,2024,12,-1,1,-0.04723006099900606,0.2868112787357181,71.32
WS/MP017/2025-2026/160025,Tamil Nadu,"Ranipet(District Collector, Ranipet_2)",S. Jagathrakshakan,ARAKKONAM,Normal/Others,construction of Cement Road on the way to Burial Ground near Reddivalam,2024-12-19,749826.0,,,,,,749826.0,1.0,1.0,0,0,1,,,,,,,,,1.0,2025-2026,2024,12,1,0,0.10880394451504954,0.6977573659990142,30.22
WS/MP017/2026-2027/160027,Tamil Nadu,"Ranipet(District Collector, Ranipet_2)",S. Jagathrakshakan,ARAKKONAM,Normal/Others,Construction of fair price shop in perur kaveripakkam,2024-12-19,1650000.0,,,,,,,,,0,0,0,,,,,,,,,,2026-2027,2024,12,1,0,0.029983566541627038,0.4901684765253393,50.98
WS/MP423/2024-2025/160028,Bihar,MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA),Ramprit Mandal,JHANJHARPUR,Normal/Others,village durgipatti post hudra block khutouna panchayat durgipatti sthith nav nirmit kachra bhawan se prathmik school ki or pcc sadak nirman karya.,2024-12-19,799968.0,,,,2025-03-01,799968.0,,,,0,1,0,,,,,,,,,,2024-2025,2024,12,1,0,0.12282826976090433,0.7346931709045207,26.53
WS/MP18051/2024-2025/160029,Chhattisgarh,GARIYABAND(Collectro Gariaband_IDA),ROOP KUMARI CHOUDHARY,MAHASAMUND,Normal/Others,GRAM RANIPARTEWA SOCIETY PARA ME GALI CONCRITIKARAN NIRMAN KARYA,2024-12-19,500000.0,,,,2025-07-25,500000.0,,,,0,1,0,,,,,,,,,,2024-2025,2024,12,1,0,0.1902482234875455,0.9122568122156444,8.77
WS/MP017/2025-2026/160030,Tamil Nadu,"Ranipet(District Collector, Ranipet_2)",S. Jagathrakshakan,ARAKKONAM,Normal/Others,Construction of Anganwadi Building at Ward no22- MarketSchool,2024-12-19,1749689.0,,,,,,1749689.0,1.0,1.0,0,0,1,,,,,,,,,1.0,2025-2026,2024,12,1,0,0.002853748710017534,0.4187167923278095,58.13
WS/MP017/2025-2026/160031,Tamil Nadu,"Ranipet(District Collector, Ranipet_2)",S. Jagathrakshakan,ARAKKONAM,Normal/Others,Constrution of Paver block in Community health center Melvisharam,2024-12-19,1598588.0,,,,,,,,,0,0,0,,,,,,,,,,2025-2026,2024,12,1,0,0.034057066884575105,0.5008968368073511,49.91
WS/MP18051/2024-2025/160033,Chhattisgarh,GARIYABAND(Collectro Gariaband_IDA),ROOP KUMARI CHOUDHARY,MAHASAMUND,Normal/Others,GRAM RANIPARTEWA SINHA PARA ME GALI CONCRITIKARAN NIRMAN KARYA,2024-12-19,500000.0,,,,2025-07-25,500000.0,,,,0,1,0,,,,,,,,,,2024-2025,2024,12,1,0,0.1902482234875455,0.9122568122156444,8.77
WS/MP18051/2024-2025/160034,Chhattisgarh,GARIYABAND(Collectro Gariaband_IDA),ROOP KUMARI CHOUDHARY,MAHASAMUND,Normal/Others,GRAM DHANORA KHALIYAMUDA SE JALPARA MARG PAR PUL-PULIYA NIRMAN KARYA,2024-12-19,1000000.0,,,,,,,,,0,0,0,,,,,,,,,,2024-2025,2024,12,1,0,0.11790385165363654,0.7217237521770887,27.83
WS/MP18051/2024-2025/160035,Chhattisgarh,GARIYABAND(Collectro Gariaband_IDA),ROOP KUMARI CHOUDHARY,MAHASAMUND,Normal/Others,GRAM SARNABAHAL ME MEN ROAD SE SINAPALIYA KE KHET JANE KE MARG PAR PUL-PULIYA NIRMAN KARYA,2024-12-19,500000.0,,,,,,,,,0,0,0,,,,,,,,,,2024-2025,2024,12,1,0,0.1902482234875455,0.9122568122156444,8.77
WS/MP017/2025-2026/160037,Tamil Nadu,"Ranipet(District Collector, Ranipet_2)",S. Jagathrakshakan,ARAKKONAM,Normal/Others,construction of Bus stop Shelter in in Arakonam Ward 8,2024-12-19,800000.0,,,,,,800000.0,1.0,1.0,0,0,1,,,,,,,,,1.0,2025-2026,2024,12,1,0,0.10112212983529423,0.6775258038127648,32.25
WS/MP017/2024-2025/160038,Tamil Nadu,"Ranipet(District Collector, Ranipet_2)",S. Jagathrakshakan,ARAKKONAM,Normal/Others,Construction of fair Price Shop Sriram nagar,2024-12-19,1199784.0,,,,,,,,,0,0,0,,,,,,,,,,2024-2025,2024,12,1,0,0.07918080095307845,0.6197390205804937,38.03
WS/MP017/2024-2025/160039,Tamil Nadu,"Ranipet(District Collector, Ranipet_2)",S. Jagathrakshakan,ARAKKONAM,Normal/Others,"Construction of Cement road at Thanigaipolur,Melkandigai village",2024-12-19,1498638.0,,,,2025-03-19,1498638.0,,,,0,1,0,,,,,,,,,,2024-2025,2024,12,1,0,0.04524488501238699,0.5303621451514576,46.96
WS/MP017/2025-2026/160041,Tamil Nadu,"Ranipet(District Collector, Ranipet_2)",S. Jagathrakshakan,ARAKKONAM,Normal/Others,Construction of Head master Room at Saynapuram Government School and Paver block installation,2024-12-19,1297974.0,,,,,,1297974.0,1.0,1.0,0,0,1,,,,,,,,,1.0,2025-2026,2024,12,1,0,0.04653770782712208,0.5337670470219813,46.62
WS/MP017/2025-2026/160042,Tamil Nadu,"Ranipet(District Collector, Ranipet_2)",S. Jagathrakshakan,ARAKKONAM,Normal/Others,construction of Cement road at MAdurputhu kandigai village on way to Burial ground,2024-12-19,599919.0,,,,,,599919.0,1.0,1.0,0,0,1,,,,,,,,,1.0,2025-2026,2024,12,1,0,0.12722205646223234,0.7462650679870294,25.37
WS/MP017/2025-2026/160043,Tamil Nadu,"Ranipet(District Collector, Ranipet_2)",S. Jagathrakshakan,ARAKKONAM,Normal/Others,construction of Storm water Drain at ward no 2,2024-12-19,350000.0,,,,,,350000.0,1.0,1.0,0,0,1,,,,,,,,,1.0,2025-2026,2024,12,1,0,0.15618780511706282,0.8225520352743135,17.74
WS/MP18245/2024-2025/160044,West Bengal,HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA),BAG MITALI,ARAMBAG(SC),Normal/Others,CONSTRUCTION OF JALASATRA (STAND ALONE) AT SASAPOTA UNDER MAROKHANA GRAM PANCHAYAT WITHIN KHANAKUL-II DEV.BLOCK,2024-12-27,914346.0,,,,,,914346.0,1.0,1.0,0,0,1,,,,,,,,,1.0,2024-2025,2024,12,1,0,0.0956159842593467,0.6630242919603762,33.7
WS/MP18245/2024-2025/160045,West Bengal,HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA),BAG MITALI,ARAMBAG(SC),Normal/Others,CONSTRUCTION OF PROPOSED ROOF TRUSS 1ST FLOOR OF DATPUR HARERCHAK PRIMARY SCHOOL AT HAZIPUR GP UNDER  GOGHAT-II DEV.BLOCK,2024-12-27,428985.0,,,,,,428985.0,1.0,1.0,0,0,1,,,,,,,,,1.0,2024-2025,2024,12,1,0,0.1502648378177076,0.8069527418469636,19.3
