work_id,combined_anomaly_score,ensemble_risk_level,rule_risk_score,rule_risk_level,risk_factors,recommended_actions,financial_risk_score,financial_risk_level,financial_risk_factors,statistical_anomaly_score,statistical_anomaly_level,statistical_anomaly_factors,ml_normalized_score,final_ai_risk_score,final_ai_risk_level,active_risk_engines,final_ai_risk_factors,risk_detection_confidence
WS/MP017/2025-2026/160048,0.0538604081079611,LOW,0.0,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],10,LOW,['Project expenditure is unusually high'],10,LOW,['Project expenditure is statistically high'],8.976734684660054,7.14,LOW,3,"['Financial risk indicators were detected', 'Statistical financial anomalies were detected', 'Multiple independent AI risk engines detected suspicious patterns']",HIGH
WS/MP017/2025-2026/160052,0.0332743279556985,LOW,0.0,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],0,LOW,[],0,LOW,[],5.54572132594967,1.94,LOW,1,[],LOW
WS/MP017/2025-2026/160053,0.0030187893402767,LOW,0.0,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],0,LOW,[],0,LOW,[],0.5031315567127761,0.18,LOW,1,[],LOW
WS/MP017/2025-2026/160054,0.0030187893402767,LOW,0.0,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],0,LOW,[],0,LOW,[],0.5031315567127761,0.18,LOW,1,[],LOW
WS/MP017/2025-2026/160057,0.0376716560656867,LOW,0.0,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],0,LOW,[],0,LOW,[],6.278609344281026,2.2,LOW,1,[],LOW
WS/MP017/2025-2026/160058,0.0,,0.0,,,,0,LOW,[],0,LOW,[],0.0,0.0,LOW,0,[],VERY LOW
WS/MP017/2026-2027/160023,0.0,,0.0,,,,0,LOW,[],0,LOW,[],0.0,0.0,LOW,0,[],VERY LOW
WS/MP017/2026-2027/160027,0.0,,0.0,,,,0,LOW,[],0,LOW,[],0.0,0.0,LOW,0,[],VERY LOW
WS/MP017/2026-2027/160046,0.0,,0.0,,,,0,LOW,[],0,LOW,[],0.0,0.0,LOW,0,[],VERY LOW
WS/MP18001/2024-2025/138858,0.4266003962025045,MEDIUM,0.0,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],20,MEDIUM,['Project expenditure is among the highest 1%'],25,MEDIUM,['Project expenditure is among the highest 0.5%'],71.10006603374973,33.89,MEDIUM,3,"['Financial risk indicators were detected', 'Statistical financial anomalies were detected', 'Multiple independent AI risk engines detected suspicious patterns']",HIGH
